"title","price","sold_at_date"
"Verkocht: Christiaan de Wetstraat 80 1091 NN Amsterdam [funda]","425000","20 mei 2020"
"Verkocht: Fokkezeil 59 1034 MV Amsterdam [funda]","235000","14 mei 2020"
"Verkocht: Van Oldenbarneveldtstraat 52 H 1052 KC Amsterdam [funda]","565000","22 mei 2020"
"Verkocht: Grensstraat 3 -1 1091 SV Amsterdam [funda]","525000","30 juni 2020"
"Verkocht: Tweede Helmersstraat 40 /hs 1054 CK Amsterdam [funda]","1000000","20 mei 2020"
"Verkocht: Van Tuyll van Serooskerkenplein 42 -III-IV 1076 NC Amsterdam [funda]","850000","11 juni 2020"
"Verkocht: Zuideinde 453 1035 PH Amsterdam [funda]","450000","11 mei 2020"
"Verkocht: Nova Zemblastraat 111 1013 RJ Amsterdam [funda]","550000","19 mei 2020"
"Verkocht: Buitenveldertselaan 83 1082 VB Amsterdam [funda]","375000","26 mei 2020"
"Verkocht: Hestiastraat 75 1 1076 DK Amsterdam [funda]","549500","22 juni 2020"
"Verkocht: Eerste Helmersstraat 253 4 1054 DX Amsterdam [funda]","425000","25 mei 2020"
"Verkocht: Wagenaarstraat 31 1093 CD Amsterdam [funda]","310000","30 mei 2020"
"Verkocht: Welsumerstraat 6 1109 BV Amsterdam [funda]","450000","17 juni 2020"
"Verkocht: Derde Oosterparkstraat 48 A 1091 JZ Amsterdam [funda]","900000","26 juni 2020"
"Verkocht: Commelinstraat 12 -2 1093 TR Amsterdam [funda]","399000","25 mei 2020"
"Verkocht: Loggerhof 51 1034 CD Amsterdam [funda]","297500","25 juni 2020"
"Verkocht: Dijlehof 12 1066 WL Amsterdam [funda]","450000","10 april 2020"
"Verkocht: Claus van Amsbergstraat 68 1102 AZ Amsterdam [funda]","459000","25 april 2020"
"Verkocht: Amsteldijk 13 hs 1074 HR Amsterdam [funda]","2395000","12 juni 2019"
"Verkocht: Van Tuyll van Serooskerkenplein 44 -3 1076 NC Amsterdam [funda]","895000","16 april 2020"
"Verkocht: Europaplein 119 hs 1079 AX Amsterdam [funda]","675000","11 mei 2020"
"Verkocht: Lijnbaansgracht 51 1015 GR Amsterdam [funda]","369000",""
"Verkocht: Waverstraat 46 -HS 1079 VM Amsterdam [funda]","575000","20 maart 2020"
"Verkocht: Joos Banckersplantsoen 24 1056 LC Amsterdam [funda]","575000","27 september 2019"
"Verkocht: Erasmusgracht 506 1061 BL Amsterdam [funda]","350000","27 april 2020"
"Verkocht: Witte de Withstraat 152 3 1057 ZK Amsterdam [funda]","350000","26 juni 2020"
"Verkocht: Nida Senffstraat 173 1095 MX Amsterdam [funda]","400000","29 mei 2020"
"Verkocht: Keizersgracht 483 -B 1017 DL Amsterdam [funda]","850000","14 mei 2020"
"Verkocht: Bruinvisstraat 11 1035 HC Amsterdam [funda]","225000","25 mei 2020"
"Verkocht: Pontanusstraat 8 1093 RW Amsterdam [funda]","575000","14 mei 2020"
"Verkocht: Baarsstraat 11 III 1075 RT Amsterdam [funda]","600000","15 mei 2020"
"Verkocht: Confuciusplein 59 1064 LG Amsterdam [funda]","325000","19 mei 2020"
"Verkocht: Lucellestraat 7 -I 1055 HS Amsterdam [funda]","300000","28 mei 2020"
"Verkocht: Maldenhof 58 1106 ES Amsterdam [funda]","338000","15 mei 2020"
"Verkocht: Gerrit van der Veenstraat 151 huis 1077 DZ Amsterdam [funda]","1300000","17 april 2020"
"Verkocht: Rudolf Agricolastraat 24 1064 NM Amsterdam [funda]","320000","11 mei 2020"
"Verkocht: Willem Nakkenstraat 48 3 1061 TC Amsterdam [funda]","285000","19 april 2020"
"Verkocht: Andreasplein 25 1058 GD Amsterdam [funda]","1195000","12 juni 2020"
"Verkocht: Leksmondhof 345 1108 GD Amsterdam [funda]","275000","22 april 2020"
"Verkocht: Nova Zemblastraat 13 G 1013 RJ Amsterdam [funda]","375000","13 mei 2020"
"Verkocht: Roerstraat 14 -III 1078 LN Amsterdam [funda]","600000","15 mei 2020"
"Verkocht: Johan Hofmanstraat 228 1069 KE Amsterdam [funda]","350000","29 mei 2020"
"Verkocht: Willem de Zwijgerlaan 36 H 1056 JS Amsterdam [funda]","379000","28 mei 2020"
"Verkocht: H.J.M. Walenkampstraat 55 1019 EA Amsterdam [funda]","485000","14 mei 2020"
"Verkocht: Egidiusstraat 3 I 1055 GK Amsterdam [funda]","400000","12 juni 2020"
"Verkocht: Cura�aostraat 57 I 1058 BM Amsterdam [funda]","395000","26 mei 2020"
"Verkocht: Zeedijk 32 D 1012 AZ Amsterdam [funda]","385000","23 juni 2020"
"Verkocht: Lijnbaansgracht 258 C 1017 RK Amsterdam [funda]","350000","23 juni 2020"
"Verkocht: Brouwersgracht 123 1 1015 GE Amsterdam [funda]","395000","29 april 2020"
"Verkocht: Van Breestraat 183 -C 1071 ZN Amsterdam [funda]","798000","25 juni 2020"
"Verkocht: Amstelkade 71 III 1078 AL Amsterdam [funda]","425000","12 juni 2020"
"Verkocht: Herengracht 60 2A 1015 BP Amsterdam [funda]","795000","10 januari 2020"
"Verkocht: Jisperveldstraat 385 1024 AT Amsterdam [funda]","275000","30 april 2020"
"Verkocht: Hunzestraat 22 I 1079 WD Amsterdam [funda]","385000","11 juni 2020"
"Verkocht: Deurloostraat 14 -2 1078 JA Amsterdam [funda]","595000","19 juni 2020"
"Verkocht: James Cookstraat 50 I 1056 SC Amsterdam [funda]","325000",""
"Verkocht: Aalsmeerweg 16 3 1059 AJ Amsterdam [funda]","650000","27 mei 2020"
"Verkocht: Dani�l Stalpertstraat 80 2 1072 XK Amsterdam [funda]","275000","28 mei 2020"
"Verkocht: Cliostraat 61 IIIA 1077 KE Amsterdam [funda]","460000","15 mei 2020"
"Verkocht: Schalkwijkpad 49 1107 JM Amsterdam [funda]","215000","18 april 2020"
"Verkocht: Abbenesstraat 17 -I 1059 TC Amsterdam [funda]","425000","26 mei 2020"
"Verkocht: Weegschaalhof 18 1033 XP Amsterdam [funda]","350000","11 mei 2020"
"Verkocht: Welnastraat 683 1096 GJ Amsterdam [funda]","200000","18 juni 2020"
"Verkocht: Landsmeerderdijk 193 1035 PV Amsterdam [funda]","645000","24 april 2020"
"Verkocht: Dalsteindreef 182 1102 WX Amsterdam [funda]","175000","28 mei 2020"
"Verkocht: Van Hilligaertstraat 164 1072 PL Amsterdam [funda]","409000","22 juni 2020"
"Verkocht: James Cookstraat 52 hs 1056 SC Amsterdam [funda]","365000","10 juni 2020"
"Verkocht: Brederodestraat 68 1 1054 MX Amsterdam [funda]","625000","22 juni 2020"
"Verkocht: Warmondstraat 188 II 1058 LC Amsterdam [funda]","350000","22 juni 2020"
"Verkocht: Bankastraat 49 IV 1094 EC Amsterdam [funda]","475000","25 juni 2020"
"Verkocht: Beukenplein 11 3 1092 BA Amsterdam [funda]","350000","25 juni 2020"
"Verkocht: Geuzenkade 61 II 1056 KN Amsterdam [funda]","350000",""
"Verkocht: Ilperveldstraat 56 1024 PH Amsterdam [funda]","350000","28 april 2020"
"Verkocht: Welnastraat 410 C 1096 GJ Amsterdam [funda]","849500","14 mei 2020"
"Verkocht: Cornelis Dirkszstraat 11 D16 1056 TM Amsterdam [funda]","650000","27 maart 2020"
"Verkocht: Joris van Andringastraat 6 -II 1055 VX Amsterdam [funda]","535000","25 juni 2020"
"Verkocht: Jan Tooropstraat 513 1061 AE Amsterdam [funda]","500000","23 maart 2020"
"Verkocht: Louise Marie Loeberplantsoen 19 + PP 1062 DD Amsterdam [funda]","350000",""
"Verkocht: Adriaan van Bergenstraat 6 2 1056 JW Amsterdam [funda]","325000","19 juni 2020"
"Verkocht: Burgemeester Van Leeuwenlaan 188 1063 NV Amsterdam [funda]","325000","16 april 2020"
"Verkocht: Noorderakerweg 271 A 1069 LT Amsterdam [funda]","799000","22 juni 2020"
"Verkocht: Maasstraat 20 II 1078 HK Amsterdam [funda]","619000","12 juni 2020"
"Verkocht: Hasebroekstraat 16 I 1053 CT Amsterdam [funda]","395000","16 april 2020"
