"title","price","sold_at_date"
"Verkocht: Hattasingel 166 3066 HH Rotterdam [funda]","375000","13 mei 2020"
"Verkocht: Paul Whitemansingel 66 3069 XV Rotterdam [funda]","300000","28 april 2020"
"Verkocht: Karel Doormanstraat 390 Q 3012 GR Rotterdam [funda]","498000","24 april 2020"
"Verkocht: Einsteinplaats 1121 3069 TJ Rotterdam [funda]","197000","24 april 2020"
"Verkocht: Voorschoterlaan 78 3062 KS Rotterdam [funda]","1250000","22 november 2019"
"Verkocht: Geuzenlaan 11 3023 PH Rotterdam [funda]","170000","30 juni 2020"
"Verkocht: Zanglijsterstraat 123 3084 NT Rotterdam [funda]","225000","15 mei 2020"
"Verkocht: 's-Gravenweg 586 3065 SG Rotterdam [funda]","1595000","25 juni 2020"
"Verkocht: Nobelstraat 45 B 3039 SG Rotterdam [funda]","240000","30 juni 2020"
"Verkocht: Prins Mauritssingel 87 B 3043 PD Rotterdam [funda]","240000","25 mei 2020"
"Verkocht: Blankershoek 65 3085 EC Rotterdam [funda]","159500","15 mei 2020"
"Verkocht: Julianastraat 30 3043 TJ Rotterdam [funda]","320000","14 mei 2020"
"Verkocht: Lloydstraat 220 3024 EA Rotterdam [funda]","550000","19 juni 2020"
"Verkocht: Groeninxstraat 9 C 3039 TC Rotterdam [funda]","330000","16 juni 2020"
"Verkocht: Herman Gorterstraat 9 B 3061 SM Rotterdam [funda]","275000","19 juni 2020"
"Verkocht: Peppelweg 17 d 3053 GA Rotterdam [funda]","190000","27 april 2020"
"Verkocht: Josine Simons-Meespad 8 3066 GD Rotterdam [funda]","275000","11 mei 2020"
"Verkocht: Nieuwstraat 284 3011 GM Rotterdam [funda]","350000","26 maart 2020"
"Verkocht: West-Sidelinge 268 3042 CX Rotterdam [funda]","325000","18 mei 2020"
"Verkocht: Molenlaan 170 3055 GJ Rotterdam [funda]","895000","10 juni 2020"
"Verkocht: Duizendschoonstraat 22 c 3051 SE Rotterdam [funda]","267500","11 juni 2020"
"Verkocht: Oscar Romerostraat 5 3065 EH Rotterdam [funda]","845000","14 mei 2020"
"Verkocht: Rozenburglaan 39 3062 EC Rotterdam [funda]","1625000","12 juni 2020"
"Verkocht: Coolhaven 228 B 3024 AN Rotterdam [funda]","239000","27 maart 2020"
"Verkocht: Oude Watering 368 3077 RE Rotterdam [funda]","210000","10 april 2020"
"Verkocht: Burghsluissingel 153 3086 VC Rotterdam [funda]","260000","23 mei 2020"
"Verkocht: Schinnenbaan 90 3077 JJ Rotterdam [funda]","175000","20 maart 2020"
"Verkocht: Schieweg 196 c2 3038 BL Rotterdam [funda]","269000","19 juni 2020"
"Verkocht: Molenvijver 44 C 3052 HE Rotterdam [funda]","325000","11 mei 2020"
"Verkocht: Strevelsweg 135 a 3073 DX Rotterdam [funda]","189500","26 maart 2020"
"Verkocht: Maaskade 157 d 3071 NP Rotterdam [funda]","385000","20 juni 2020"
"Verkocht: Geertsemastraat 6 b 3038 XC Rotterdam [funda]","245000","18 juni 2020"
"Verkocht: Hoofdlaan 35 B 3051 XE Rotterdam [funda]","549000","25 mei 2020"
"Verkocht: Strevelsweg 876 3083 LV Rotterdam [funda]","275000","12 mei 2020"
"Verkocht: Rozenlaan 21 B 3051 LJ Rotterdam [funda]","275000",""
"Verkocht: Adriaen Mijnlieffstraat 52 3078 JC Rotterdam [funda]","285000","27 maart 2020"
"Verkocht: Navanderstraat 6 f 3039 VM Rotterdam [funda]","275000","14 mei 2020"
"Verkocht: Hordijk 72 3079 DK Rotterdam [funda]","229500","21 april 2020"
"Verkocht: Bredenoord 48 3079 JE Rotterdam [funda]","225000","15 mei 2020"
"Verkocht: Langegeer 254 3075 JR Rotterdam [funda]","172500",""
