"title","price","sold_at_date"
"Verkocht: Johan Wagenaarkade 69 II 3533 TH Utrecht [funda]","275000","18 maart 2020"
"Verkocht: Oudegracht 370 B 3511 PP Utrecht [funda]","339000","19 juni 2020"
"Verkocht: Ralph Benatzkylaan 2 3543 HC Utrecht [funda]","875000","19 mei 2020"
"Verkocht: Ray Connifpad 14 3543 GS Utrecht [funda]","469500","22 juni 2020"
"Verkocht: Hasebroekstraat 10 3532 GL Utrecht [funda]","515000","29 april 2020"
"Verkocht: Croeselaan 359 3521 BV Utrecht [funda]","325000","10 april 2020"
"Verkocht: Beethovenlaan 35 3533 ES Utrecht [funda]","685000","29 juni 2020"
"Verkocht: 2e Atjehstraat 2 3531 ST Utrecht [funda]","250000","24 april 2020"
"Verkocht: Andr� Voltenlaan 19 3541 AG Utrecht [funda]","460000","25 april 2020"
"Verkocht: Pablo (Bouwnr. 8) 3544 NW Utrecht [funda]","309000","15 juni 2020"
"Verkocht: Prof. Ritzema Boslaan 2 3571 CR Utrecht [funda]","795000",""
"Verkocht: Rhijnvis Feithstraat 22 3532 GP Utrecht [funda]","285000","17 april 2020"
"Verkocht: Herautsingel 13 3525 GJ Utrecht [funda]","175000","17 mei 2020"
"Verkocht: Wittevrouwensingel 61 B 3572 CB Utrecht [funda]","225000","23 mei 2020"
"Verkocht: Heemstedelaan 69 3523 KE Utrecht [funda]","275000","20 juni 2020"
"Verkocht: Washingtondreef 147 3564 KD Utrecht [funda]","200000","29 mei 2020"
"Verkocht: Rooseveltlaan 470 3527 AR Utrecht [funda]","275000","19 juni 2020"
"Verkocht: Koningsweg 52 3582 GJ Utrecht [funda]","297500","12 juni 2020"
"Verkocht: Zwanenvechtlaan 60 3554 GM Utrecht [funda]","235000","15 juni 2020"
"Verkocht: Sonny Rollinsstraat 222 3543 GR Utrecht [funda]","369000","28 mei 2020"
"Verkocht: Verlengde Hoogravenseweg 104 3525 BJ Utrecht [funda]","375000","15 juni 2020"
"Verkocht: Geraniumstraat 40 3551 HD Utrecht [funda]","250000","15 april 2020"
"Verkocht: Jaffastraat 2 G 3532 EM Utrecht [funda]","225000","11 april 2020"
"Verkocht: Lepelaarstraat 6 BIS 3582 SN Utrecht [funda]","395000","29 april 2020"
"Verkocht: Louise Kerlinghof 4 3571 TR Utrecht [funda]","700000","26 maart 2020"
"Verkocht: Croeselaan 262 D 3521 CL Utrecht [funda]","209000","19 mei 2020"
"Verkocht: Burt Bacharachstraat 50 3543 DG Utrecht [funda]","675000",""
"Verkocht: Van Koetsveldstraat 102 3532 ET Utrecht [funda]","239500","12 mei 2020"
"Verkocht: Hovenstraat 14 3581 RS Utrecht [funda]","300000","13 mei 2020"
"Verkocht: De Vooysplantsoen 28 3571 ZR Utrecht [funda]","300000","12 juni 2020"
"Verkocht: Parkzichtlaan 196 3544 MN Utrecht [funda]","459000","28 april 2020"
"Verkocht: Vechtdijk 356 3563 ME Utrecht [funda]","429000","16 april 2020"
"Verkocht: Hasebroekstraat 21 H 3532 GJ Utrecht [funda]","199000","30 april 2020"
"Verkocht: Markstraat 2 A 3582 KL Utrecht [funda]","350000","27 mei 2020"
"Verkocht: Griftstraat 106 3572 GZ Utrecht [funda]","450000","19 mei 2020"
"Verkocht: Apennijnen 31 3524 DK Utrecht [funda]","285000",""
"Verkocht: Cremerstraat 256 3532 BM Utrecht [funda]","339500","11 mei 2020"
"Verkocht: Oude Daalstraat 23 3513 TM Utrecht [funda]","425000","13 juni 2020"
"Verkocht: Galjoenstraat 23 3534 PB Utrecht [funda]","390000","17 april 2020"
"Verkocht: 2e Daalsedijk 59 3551 EB Utrecht [funda]","295000","14 mei 2020"
"Verkocht: Adriaan van Bergenstraat 14 3554 VE Utrecht [funda]","210000","24 april 2020"
"Verkocht: Johann Sebastian Bachstraat 14 3533 XC Utrecht [funda]","580000","10 april 2020"
"Verkocht: Voorsterbeeklaan 70 3521 DE Utrecht [funda]","385000","18 mei 2020"
"Verkocht: Zwaardemakerlaan 28 3571 ZD Utrecht [funda]","495000","14 april 2020"
"Verkocht: Barnsteenlaan 30 3523 BD Utrecht [funda]","425000","13 mei 2020"
"Verkocht: Reyer Anslostraat 20 3522 DJ Utrecht [funda]","500000","11 juni 2020"
"Verkocht: Bellamystraat 13 3514 EJ Utrecht [funda]","650000","11 juni 2020"
"Verkocht: Morelstraat 50 3552 GP Utrecht [funda]","250000","16 april 2020"
"Verkocht: Heycopstraat 24 3521 EN Utrecht [funda]","525000",""
"Verkocht: Filipijnen 112 3524 JP Utrecht [funda]","300000","10 mei 2020"
"Verkocht: Sumatrastraat 8 B 3531 PC Utrecht [funda]","249000","13 mei 2020"
"Verkocht: Bolksbeekstraat 42 3521 CT Utrecht [funda]","315000","23 april 2020"
"Verkocht: Edisonstraat 65 3553 BM Utrecht [funda]","275000","11 juni 2020"
"Verkocht: Engelen van Pijlsweertstraat 10 3513 GE Utrecht [funda]","600000","14 april 2020"
"Verkocht: Cartesiusweg 91 3534 BB Utrecht [funda]","375000","13 juni 2020"
"Verkocht: Operettelaan 323 3543 BR Utrecht [funda]","450000","11 juni 2020"
"Verkocht: Edisonstraat 27 3553 BL Utrecht [funda]","239000","22 april 2020"
"Verkocht: Wolvenplein 10 bis 3512 CJ Utrecht [funda]","400000","19 mei 2020"
"Verkocht: Palmstraat 40 3572 TD Utrecht [funda]","525000","28 mei 2020"
"Verkocht: Meredith Willsonstraat 17 3543 DL Utrecht [funda]","469000","26 mei 2020"
"Verkocht: Jutfaseweg 204 B 3522 HR Utrecht [funda]","250000","27 mei 2020"
"Verkocht: Mgr. van de Weteringstraat 25 3581 EB Utrecht [funda]","1100000","14 januari 2020"
"Verkocht: Korenschoofstraat 28 3513 DG Utrecht [funda]","395000","15 juni 2020"
"Verkocht: Leidsekade 93 bis 3531 HB Utrecht [funda]","525000","11 juni 2020"
"Verkocht: Haagstraat 58 3581 SX Utrecht [funda]","485000","10 juni 2020"
"Verkocht: Adriaan Menninckkwartier 73 3554 CS Utrecht [funda]","485000","21 april 2020"
"Verkocht: Dick Brunasingel 77 3544 HZ Utrecht [funda]","475000","25 mei 2020"
"Verkocht: Regentesselaan 29 3571 CA Utrecht [funda]","729000","14 mei 2020"
