uniek_id,gml_id,gml_parent_id,gml_parent_property,geometrie,gid,identificatie,oppervlakte,status,gebruiksdoel,openbare_ruimte,huisnummer,huisletter,toevoeging,postcode,woonplaats,bouwjaar,pandidentificatie,pandstatus,rdf_seealso,fme_geometry,gml_pointProperty,gml_multiPointProperty,fme_geometry_0_,fme_geometry_1_,fme_geometry_2_,Straat,Huisnummer,Postcode
pizarrolaan9  ,verblijfsobject.bag:0344010000019048,,member,,3539597,0344010000019048,95,Verblijfsobject in gebruik,woonfunctie,Pizarrolaan,9,,,3526TX,Utrecht,1964,0344100000038233,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000019048,fme_point,,,,,,Pizarrolaan,9,3526 TX
sartreweg76  ,verblijfsobject.bag:0344010000027407,,member,,6624576,0344010000027407,74,Verblijfsobject in gebruik,woonfunctie,Sartreweg,76,,,3573PN,Utrecht,1991,0344100000006256,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000027407,fme_point,,,,,,Sartreweg,76,3573 PN
lippizanerhof2  ,verblijfsobject.bag:0344010000178189,,member,,6715601,0344010000178189,124,Verblijfsobject in gebruik,woonfunctie,Lippizanerhof,2,,,3573SP,Utrecht,2017,0344100000143838,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000178189,fme_point,,,,,,Lippizanerhof,2,3573 SP
fernandezlaan71  ,verblijfsobject.bag:0344010000009326,,member,,3525457,0344010000009326,146,Verblijfsobject in gebruik,woonfunctie,Fernandezlaan,71,,,3526GW,Utrecht,1963,0344100000030404,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000009326,fme_point,,,,,,Fernandezlaan,71,3526 GW
marco pololaan210  ,verblijfsobject.bag:0344010000022002,,member,,3541117,0344010000022002,89,Verblijfsobject in gebruik,woonfunctie,Marco Pololaan,210,,,3526GN,Utrecht,1963,0344100000039649,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000022002,fme_point,,,,,,Marco Pololaan,210,3526 GN
stanleylaan267  ,verblijfsobject.bag:0344010000139204,,member,,3542474,0344010000139204,98,Verblijfsobject in gebruik,woonfunctie,Stanleylaan,267,,,3526TG,Utrecht,1963,0344100000020198,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000139204,fme_point,,,,,,Stanleylaan,267,3526 TG
marco pololaan234  ,verblijfsobject.bag:0344010000038634,,member,,3553173,0344010000038634,89,Verblijfsobject in gebruik,woonfunctie,Marco Pololaan,234,,,3526GN,Utrecht,1963,0344100000039649,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000038634,fme_point,,,,,,Marco Pololaan,234,3526 GN
marco pololaan150  ,verblijfsobject.bag:0344010000021977,,member,,6621376,0344010000021977,89,Verblijfsobject in gebruik,woonfunctie,Marco Pololaan,150,,,3526GM,Utrecht,1963,0344100000039649,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000021977,fme_point,,,,,,Marco Pololaan,150,3526 GM
cabotolaan5  ,verblijfsobject.bag:0344010000010925,,member,,3528852,0344010000010925,110,Verblijfsobject in gebruik,woonfunctie,Cabotolaan,5,,,3526EX,Utrecht,1988,0344100000018389,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000010925,fme_point,,,,,,Cabotolaan,5,3526 EX
marco pololaan203  ,verblijfsobject.bag:0344010000021997,,member,,3541112,0344010000021997,75,Verblijfsobject in gebruik,woonfunctie,Marco Pololaan,203,,,3526GC,Utrecht,1956,0344100000051676,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000021997,fme_point,,,,,,Marco Pololaan,203,3526 GC
